,city,date,gender,match_type,player of the match,team 1,team 2,toss_decision,toss_winner,umpire_1,umpire_2,venue,win_by_runs,win_by_wickets,winner
642,Colombo,2011-02-06,male,ODI,KC Sangakkara,Sri Lanka,West Indies,field,West Indies,EAR de Silva,BNJ Oxenford,Sinhalese Sports Club Ground,26,0,Sri Lanka
643,Guwahati,2010-11-28,male,ODI,V Kohli,India,New Zealand,field,New Zealand,NJ Llong,SK Tarapore,Nehru Stadium,40,0,India
644,Jaipur,2010-12-01,male,ODI,G Gambhir,India,New Zealand,field,India,SS Hazare,NJ Llong,Sawai Mansingh Stadium,0,8,India
645,Vadodara,2010-12-04,male,ODI,G Gambhir,India,New Zealand,field,India,RA Kettleborough,SK Tarapore,Reliance Stadium,0,9,India
646,Bangalore,2010-12-07,male,ODI,YK Pathan,India,New Zealand,field,India,RA Kettleborough,AM Saheba,M Chinnaswamy Stadium,0,5,India
647,Chennai,2010-12-10,male,ODI,Yuvraj Singh,India,New Zealand,bat,New Zealand,RA Kettleborough,AM Saheba,"MA Chidambaram Stadium, Chepauk",0,8,India
648,,2010-08-19,male,ODI,,Sri Lanka,New Zealand,field,New Zealand,Asad Rauf,TH Wijewardene,Rangiri Dambulla International Stadium,0,0,no result
649,Wellington,2011-01-22,male,ODI,TG Southee,New Zealand,Pakistan,bat,Pakistan,CB Gaffaney,AM Saheba,Westpac Stadium,0,9,New Zealand
650,,2011-01-26,male,ODI,,New Zealand,Pakistan,field,New Zealand,CB Gaffaney,AM Saheba,Queenstown Events Centre,0,0,no result
651,Christchurch,2011-01-29,male,ODI,Mohammad Hafeez,New Zealand,Pakistan,field,New Zealand,GAV Baxter,AM Saheba,AMI Stadium,43,0,Pakistan
652,Napier,2011-02-01,male,ODI,Misbah-ul-Haq,New Zealand,Pakistan,bat,New Zealand,GAV Baxter,SJ Davis,McLean Park,0,2,Pakistan
653,Hamilton,2011-02-03,male,ODI,Ahmed Shehzad,New Zealand,Pakistan,field,New Zealand,SJ Davis,AL Hill,Seddon Park,41,0,Pakistan
654,Auckland,2011-02-05,male,ODI,JD Ryder,New Zealand,Pakistan,field,Pakistan,SJ Davis,AL Hill,Eden Park,57,0,New Zealand
655,London,2011-06-28,male,ODI,JM Anderson,England,Sri Lanka,field,Sri Lanka,BF Bowden,RK Illingworth,Kennington Oval,110,0,England
656,Leeds,2011-07-01,male,ODI,DPMD Jayawardene,England,Sri Lanka,field,England,BF Bowden,RA Kettleborough,Headingley,69,0,Sri Lanka
657,London,2011-07-03,male,ODI,LD Chandimal,England,Sri Lanka,bat,England,BF Bowden,NJ Llong,Lord's,0,6,Sri Lanka
658,Nottingham,2011-07-06,male,ODI,AN Cook,England,Sri Lanka,field,England,BF Bowden,RK Illingworth,Trent Bridge,0,10,England
659,Manchester,2011-07-09,male,ODI,IJL Trott,England,Sri Lanka,bat,England,BF Bowden,NJ Llong,Old Trafford,16,0,England
660,Chester-le-Street,2011-09-03,male,ODI,,England,India,field,England,BR Doctrove,RK Illingworth,Riverside Ground,0,0,no result
661,Southampton,2011-09-06,male,ODI,AN Cook,England,India,field,England,RJ Bailey,BR Doctrove,The Rose Bowl,0,7,England
662,London,2011-09-09,male,ODI,RA Jadeja,England,India,field,England,M Erasmus,NJ Llong,Kennington Oval,0,3,England
663,London,2011-09-11,male,ODI,RS Bopara,England,India,field,England,M Erasmus,RK Illingworth,Lord's,0,0,tie
664,Cardiff,2011-09-16,male,ODI,JM Bairstow,England,India,field,England,BR Doctrove,NJ Llong,Sophia Gardens,0,6,England
665,Mirpur,2010-10-05,male,ODI,Shakib Al Hasan,Bangladesh,New Zealand,bat,Bangladesh,Enamul Haque,SK Tarapore,Shere Bangla National Stadium,9,0,Bangladesh
666,Mirpur,2010-10-11,male,ODI,Suhrawadi Shuvo,Bangladesh,New Zealand,field,Bangladesh,Aleem Dar,Nadir Shah,Shere Bangla National Stadium,0,7,Bangladesh
667,Mirpur,2010-10-14,male,ODI,Shakib Al Hasan,Bangladesh,New Zealand,field,New Zealand,Aleem Dar,Sharfuddoula,Shere Bangla National Stadium,9,0,Bangladesh
668,Mirpur,2010-10-17,male,ODI,Rubel Hossain,Bangladesh,New Zealand,bat,Bangladesh,Aleem Dar,Nadir Shah,Shere Bangla National Stadium,3,0,Bangladesh
669,Dublin,2011-08-25,male,ODI,EJG Morgan,Ireland,England,field,Ireland,SJ Davis,M Hawthorne,Clontarf Cricket Club Ground,11,0,England
670,Mirpur,2010-12-01,male,ODI,CB Mpofu,Bangladesh,Zimbabwe,field,Bangladesh,EAR de Silva,Enamul Haque,Shere Bangla National Stadium,9,0,Zimbabwe
671,Mirpur,2010-12-03,male,ODI,Abdur Razzak,Bangladesh,Zimbabwe,field,Bangladesh,EAR de Silva,Enamul Haque,Shere Bangla National Stadium,0,6,Bangladesh
672,Mirpur,2010-12-06,male,ODI,Abdur Razzak,Bangladesh,Zimbabwe,field,Zimbabwe,EAR de Silva,Sharfuddoula,Shere Bangla National Stadium,65,0,Bangladesh
673,Chittagong,2010-12-12,male,ODI,Tamim Iqbal,Bangladesh,Zimbabwe,bat,Zimbabwe,EAR de Silva,Nadir Shah,Zahur Ahmed Chowdhury Stadium,0,6,Bangladesh
